condition_robbe	condition	batch	sample 	strain	mycorrhization_percentage	root_hairs	root_mass	shoot_mass	prop_root	prop_shoot	observer	comments
control	control	A	B1	HH1	35	y	331	230	0,5900178253	0,4099821747	journey	
control	control	A	B1	HH1	2	y	331	230	0,5900178253	0,4099821747	journey	
control	control	A	B1	HH1	15	y	331	230	0,5900178253	0,4099821747	journey	
control	control	A	B1	LS4	40	y	423	230	0,6477794793	0,3522205207	journey	
control	control	A	B1	LS4	0	y	423	230	0,6477794793	0,3522205207	journey	
control	control	A	B1	LS4	5	y	423	230	0,6477794793	0,3522205207	journey	
control	control	A	B2	HH1	5	y	333,3	310	0,5181097466	0,4818902534	journey	
control	control	A	B2	HH1	40	y	333,3	310	0,5181097466	0,4818902534	journey	
control	control	A	B2	HH1	55	y	333,3	310	0,5181097466	0,4818902534	journey	
control	control	A	B2	LS4	70	y	410	310	0,5694444444	0,4305555556	journey	
control	control	A	B2	LS4	70	y	410	310	0,5694444444	0,4305555556	journey	
control	control	A	B2	LS4	20	y	410	310	0,5694444444	0,4305555556	journey	
control	control	A	B3	HH1	25	y	358	280	0,5611285266	0,4388714734	Benthe	Wortelhaartjes enkel zichtbaar bovenaan
control	control	A	B3	HH1	0	y	358	280	0,5611285266	0,4388714734	Benthe	
control	control	A	B3	HH1	51	y	358	280	0,5611285266	0,4388714734	Benthe	
control	control	A	B3	LS4	0	y	310	280	0,5254237288	0,4745762712	Benthe	
control	control	A	B3	LS4	0	y	310	280	0,5254237288	0,4745762712	Benthe	
control	control	A	B3	LS4	0	y	310	280	0,5254237288	0,4745762712	Benthe	
control	control	A	B4	HH1	0	y	208	190	0,5226130653	0,4773869347	Benthe	
control	control	A	B4	HH1	10	y	208	190	0,5226130653	0,4773869347	Benthe	
control	control	A	B4	HH1	0	y	208	190	0,5226130653	0,4773869347	Benthe	
control	control	A	B4	LS4	0	y	290	190	0,6041666667	0,3958333333	Benthe	
control	control	A	B4	LS4	0	y	290	190	0,6041666667	0,3958333333	Benthe	
control	control	A	B4	LS4	0	y	290	190	0,6041666667	0,3958333333	Benthe	
control	control	A	B5	HH1	5	y	280	220	0,56	0,44	journey	
control	control	A	B5	HH1	1	y	280	220	0,56	0,44	journey	
control	control	A	B5	HH1	2	y	280	220	0,56	0,44	journey	
control	control	A	B5	LS4	20	y	179,7	220	0,4495871904	0,5504128096	journey	
control	control	A	B5	LS4	60	y	179,7	220	0,4495871904	0,5504128096	journey	
control	control	A	B5	LS4	10	y	179,7	220	0,4495871904	0,5504128096	journey	
50µM	50µM	B	B6	HH1	10	y	210	190	525	475	Benthe	
50µM	50µM	B	B6	HH1	0	y	210	190	525	475	Benthe	
50µM	50µM	B	B6	HH1	0	y	210	190	525	475	Benthe	
50µM	50µM	B	B6	LS4	47	y	220	190	0,5365853659	0,4634146341	Benthe	Wortelhaartjes enkel zichtbaar bovenaan de wortel. Wit mycelium deels zichtbaar onderaan
50µM	50µM	B	B6	LS4	65	y	220	190	0,5365853659	0,4634146341	Benthe	
50µM	50µM	B	B6	LS4	0	y	220	190	0,5365853659	0,4634146341	Benthe	
50µM	50µM	B	B7	HH1	70	y	234,6	250	0,4841106067	0,5158893933	journey	veel buds die dan veel dichitoom vertakkingen hadden meegetelt
50µM	50µM	B	B7	HH1	5	y	234,6	250	0,4841106067	0,5158893933	journey	
50µM	50µM	B	B7	HH1	60	y	234,6	250	0,4841106067	0,5158893933	journey	
50µM	50µM	B	B7	LS4	30	y	168,8	250	0,4030563515	0,5969436485	journey	
50µM	50µM	B	B7	LS4	25	y	168,8	250	0,4030563515	0,5969436485	journey	
50µM	50µM	B	B7	LS4	40	y	168,8	250	0,4030563515	0,5969436485	journey	
50µM	50µM	B	B8	HH1	2	y	238,4	220	0,520069808	0,479930192	journey	sommige dichitoom vertakte buds klein
50µM	50µM	B	B8	HH1	20	y	238,4	220	0,520069808	0,479930192	journey	
50µM	50µM	B	B8	HH1	10	y	238,4	220	0,520069808	0,479930192	journey	
50µM	50µM	B	B8	LS4	0	y	409,5	220	0,6505162828	0,3494837172	journey	
50µM	50µM	B	B8	LS4	5	y	409,5	220	0,6505162828	0,3494837172	journey	dichitome buds met wortelhaar maar wel mycelium rond
50µM	50µM	B	B8	LS4	0	y	409,5	220	0,6505162828	0,3494837172	journey	
50µM	50µM	B	B9	HH1	50	y	160	160	0,5	0,5	Benthe	Wortelhaartjes enkel zichtbaar bovenaan
50µM	50µM	B	B9	HH1	0	y	160	160	0,5	0,5	Benthe	
50µM	50µM	B	B9	HH1	0	n	160	160	0,5	0,5	Benthe	
50µM	50µM	B	B9	LS4	80	n	160	160	0,5	0,5	Benthe	
50µM	50µM	B	B9	LS4	50	y	160	160	0,5	0,5	Benthe	
50µM	50µM	B	B9	LS4	33	y	160	160	0,5	0,5	Benthe	Wortelhaartjes zichtbaar slechts in heel lage dichtheid
50µM	50µM	B	B10	HH1	0	y	181	60	0,7510373444	0,2489626556	journey	
50µM	50µM	B	B10	HH1	0	y	181	60	0,7510373444	0,2489626556	journey	
50µM	50µM	B	B10	HH1	0	y	181	60	0,7510373444	0,2489626556	journey	
50µM	50µM	B	B10	LS4	0	y	82,7	60	0,5795374912	0,4204625088	journey	
50µM	50µM	B	B10	LS4	10	y	82,7	60	0,5795374912	0,4204625088	journey	
50µM	50µM	B	B10	LS4	40	y	82,7	60	0,5795374912	0,4204625088	journey	dichitoom vertakte buds een beetje lang maar geen wortelhaar
200µM	50µM	C	B11	HH1	95	y	320	310	0,5079365079	0,4920634921	journey	
200µM	50µM	C	B11	HH1	5	y	320	310	0,5079365079	0,4920634921	journey	
200µM	50µM	C	B11	HH1	20	y	320	310	0,5079365079	0,4920634921	journey	
200µM	50µM	C	B11	LS4	25	y	494,6	310	0,6147153865	0,3852846135	journey	
200µM	50µM	C	B11	LS4	5	y	494,6	310	0,6147153865	0,3852846135	journey	
200µM	50µM	C	B11	LS4	5	y	494,6	310	0,6147153865	0,3852846135	journey	
200µM	50µM	C	B12	HH1	40	y	405,2	250	0,6184371184	0,3815628816	journey	mycelium zihtbaar
200µM	50µM	C	B12	HH1	5	y	405,2	250	0,6184371184	0,3815628816	journey	
200µM	50µM	C	B12	HH1	30	y	405,2	250	0,6184371184	0,3815628816	journey	
200µM	50µM	C	B12	LS4	60	y	275,8	250	0,5245340434	0,4754659566	journey	
200µM	50µM	C	B12	LS4	60	y	275,8	250	0,5245340434	0,4754659566	journey	
200µM	50µM	C	B12	LS4	40	y	275,8	250	0,5245340434	0,4754659566	journey	
200µM	50µM	C	B13	HH1	25	y	268	180	0,5982142857	0,4017857143	Benthe	
200µM	50µM	C	B13	HH1	0	n	268	180	0,5982142857	0,4017857143	Benthe	
200µM	50µM	C	B13	HH1	0	y	268	180	0,5982142857	0,4017857143	Benthe	
200µM	50µM	C	B13	LS4	20	y	206	180	0,5336787565	0,4663212435	Benthe	Enkel dichotoom vertakte worteltjes bij begin van de wortel --> oud mycelium?
200µM	50µM	C	B13	LS4	0	y	206	180	0,5336787565	0,4663212435	Benthe	
200µM	50µM	C	B13	LS4	90	y	206	180	0,5336787565	0,4663212435	Benthe	
200µM	50µM	C	B14	HH1	0	y	195,5	250	0,4388327722	0,5611672278	journey	
200µM	50µM	C	B14	HH1	8	y	195,5	250	0,4388327722	0,5611672278	journey	
200µM	50µM	C	B14	HH1	1	y	195,5	250	0,4388327722	0,5611672278	journey	meerdere dichitoom vertakte buds waarvan er veel haar bevatten, deze niet meegerekend
